,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 4,AYUDANTÍA OBLIGATORIA 02,MI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC04,18
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 4,CÁTEDRA 02,MA VI 14:30 - 15:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC04,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 4,LABORATORIO 04,JU 14:30 - 15:50,PAREDES DANIELA VICTORIA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC04,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 5,LABORATORIO 05,MA 08:30 - 09:50,BRIZUELA JESSICA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC05,17
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 5,CÁTEDRA 03,LU JU 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC05,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 5,AYUDANTÍA OBLIGATORIA 03,VI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC05,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 6,LABORATORIO 06,MA 08:30 - 09:50,BRIZUELA JESSICA,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC06,18
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 6,CÁTEDRA 03,LU JU 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC06,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 6,AYUDANTÍA OBLIGATORIA 03,VI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC06,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 7,LABORATORIO 07,MA 16:00 - 17:20,MIRANDA MARIO ERNESTO BRAYAN,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC07,17
,,,,,,,,,,,,,CBF1001,CALOR Y ONDAS,7,,Sección 7,AYUDANTÍA OBLIGATORIA 04,VI 16:00 - 17:20,,S-SANTIAGO,Vacantes de Carrera,CBF1001_VC07,
